name,day,years,prevalence,cases
Pyrethroid-only,4290,2.7534246575342465,0.52544695,2.6789289
Pyrethroid-only,4304,2.791780821917808,0.5193608,2.2901409
Pyrethroid-only,4318,2.83013698630137,0.50973064,1.9920251
Pyrethroid-only,4332,2.8684931506849316,0.49870375,1.8890538
Pyrethroid-only,4346,2.9068493150684933,0.4892582,1.9873657
Pyrethroid-only,4360,2.9452054794520546,0.48389822,2.1777494
Pyrethroid-only,4374,2.9835616438356163,0.48368806,2.4331126
PBO,2190,-3.0,0.44937128,2.0863774
PBO,2204,-2.9616438356164383,0.45082673,1.1856627
PBO,2218,-2.9232876712328766,0.43830267,0.65803707
PBO,2232,-2.884931506849315,0.41571212,0.6134801
PBO,2246,-2.8465753424657536,0.39317778,0.5646448
PBO,2260,-2.808219178082192,0.37651777,0.5685766
PBO,2274,-2.76986301369863,0.3615201,0.57431114
PBO,2288,-2.7315068493150685,0.3467532,0.58274305
PBO,2302,-2.6931506849315068,0.3335613,0.5939746
PBO,2316,-2.654794520547945,0.3221221,0.6144109
PBO,2330,-2.6164383561643834,0.31250608,0.6439107
PBO,2344,-2.578082191780822,0.3047194,0.680228
PBO,2358,-2.5397260273972604,0.29886246,0.73396826
PBO,2372,-2.5013698630136987,0.29523996,0.8082434
PBO,2386,-2.463013698630137,0.29415944,0.8928524
PBO,2400,-2.4246575342465753,0.29551238,0.98597145
PBO,2414,-2.3863013698630136,0.29862297,1.0684111
PBO,2428,-2.347945205479452,0.30240077,1.0988216
PBO,2442,-2.3095890410958906,0.30560833,1.0723295
PBO,2456,-2.271232876712329,0.3072347,1.0019195
PBO,2470,-2.232876712328767,0.30672553,0.89121556
PBO,2484,-2.1945205479452055,0.30385357,0.79271936
PBO,2498,-2.1561643835616437,0.29869822,0.7338698
PBO,2512,-2.117808219178082,0.29255807,0.75172734
PBO,2526,-2.0794520547945203,0.2883684,0.8423251
PBO,2540,-2.041095890410959,0.28896707,0.9928405
PBO,2554,-2.0027397260273974,0.2939223,1.1477959
PBO,2568,-1.9643835616438357,0.29886463,1.2840033
PBO,2582,-1.926027397260274,0.30501983,1.3920925
PBO,2596,-1.8876712328767122,0.31464583,1.4715824
PBO,2610,-1.8493150684931507,0.32452592,1.4987202
PBO,2624,-1.810958904109589,0.33205622,1.4984171
PBO,2638,-1.7726027397260273,0.33716702,1.499809
PBO,2652,-1.7342465753424658,0.34073865,1.5085757
PBO,2666,-1.6958904109589041,0.34380275,1.5234947
PBO,2680,-1.6575342465753424,0.3471091,1.5516875
PBO,2694,-1.6191780821917807,0.35098246,1.5975294
PBO,2708,-1.5808219178082192,0.35547364,1.6522214
PBO,2722,-1.5424657534246575,0.36073083,1.7330661
PBO,2736,-1.5041095890410958,0.3672263,1.8594317
PBO,2750,-1.4657534246575343,0.37547398,2.0113313
PBO,2764,-1.4273972602739726,0.38537556,2.175857
PBO,2778,-1.389041095890411,0.39596868,2.3054657
PBO,2792,-1.3506849315068492,0.40575567,2.346793
PBO,2806,-1.3123287671232877,0.41318858,2.264617
PBO,2820,-1.273972602739726,0.41713703,2.0751648
PBO,2834,-1.2356164383561643,0.41723052,1.814714
PBO,2848,-1.1972602739726028,0.4137879,1.5696712
PBO,2862,-1.158904109589041,0.40756583,1.3981125
PBO,2876,-1.1205479452054794,0.40021312,1.3790231
PBO,2890,-1.082191780821918,0.39471242,1.5025849
PBO,2904,-1.0438356164383562,0.39403856,1.7040699
PBO,2918,-1.0054794520547945,0.3986566,1.9510057
PBO,2932,-0.9671232876712329,0.40515766,2.184263
PBO,2946,-0.9287671232876712,0.41302052,2.339096
PBO,2960,-0.8904109589041096,0.42294678,2.4129527
PBO,2974,-0.852054794520548,0.43196997,2.401197
PBO,2988,-0.8136986301369863,0.43824312,2.3434393
PBO,3002,-0.7753424657534247,0.44191447,2.2837195
PBO,3016,-0.736986301369863,0.4438802,2.2402506
PBO,3030,-0.6986301369863014,0.44506645,2.215153
PBO,3044,-0.6602739726027397,0.44609568,2.2113366
PBO,3058,-0.6219178082191781,0.44730884,2.2290995
PBO,3072,-0.5835616438356165,0.44894215,2.2640934
PBO,3086,-0.5452054794520548,0.45136812,2.339074
PBO,3100,-0.5068493150684932,0.45520484,2.4668775
PBO,3114,-0.4684931506849315,0.4610124,2.621894
PBO,3128,-0.4301369863013699,0.4686392,2.7875957
PBO,3142,-0.3917808219178082,0.47698426,2.9104495
PBO,3156,-0.35342465753424657,0.48444518,2.938397
PBO,3170,-0.3150684931506849,0.48948243,2.8235881
PBO,3184,-0.27671232876712326,0.490975,2.5715747
PBO,3198,-0.23835616438356164,0.48852503,2.2414591
PBO,3212,-0.2,0.4825216,1.9214406
PBO,3226,-0.16164383561643836,0.47388306,1.6856518
PBO,3240,-0.1232876712328767,0.4642384,1.6247373
PBO,3254,-0.08493150684931507,0.4564025,1.7440932
PBO,3268,-0.04657534246575343,0.45338112,1.9407415
PBO,3282,-0.00821917808219178,0.45602793,2.2206202
PBO,3296,0.030136986301369864,0.44625953,1.4313169
PBO,3310,0.0684931506849315,0.42662483,0.48435652
PBO,3324,0.10684931506849316,0.3974282,0.35653076
PBO,3338,0.14520547945205478,0.37897202,0.36880448
PBO,3352,0.18356164383561643,0.35842466,0.37626308
PBO,3366,0.2219178082191781,0.33760038,0.38969976
PBO,3380,0.2602739726027397,0.32198632,0.40213913
PBO,3394,0.29863013698630136,0.3085286,0.41558245
PBO,3408,0.336986301369863,0.29655957,0.43318653
PBO,3422,0.37534246575342467,0.28623405,0.4567641
PBO,3436,0.4136986301369863,0.27773625,0.48186627
PBO,3450,0.4520547945205479,0.2712975,0.51009405
PBO,3464,0.4904109589041096,0.26716435,0.5549749
PBO,3478,0.5287671232876713,0.26539174,0.6212051
PBO,3492,0.5671232876712329,0.26569763,0.6920086
PBO,3506,0.6054794520547945,0.26753694,0.75920224
PBO,3520,0.6438356164383562,0.27005136,0.8001853
PBO,3534,0.6821917808219178,0.2722525,0.79276574
PBO,3548,0.7205479452054795,0.2733589,0.744925
PBO,3562,0.7589041095890411,0.27283278,0.6676867
PBO,3576,0.7972602739726027,0.27034342,0.588662
PBO,3590,0.8356164383561644,0.2660331,0.55047625
PBO,3604,0.873972602739726,0.26104563,0.5660514
PBO,3618,0.9123287671232877,0.25739568,0.64083946
PBO,3632,0.9506849315068493,0.25678182,0.77800703
PBO,3646,0.989041095890411,0.25991118,0.93183994
PBO,3660,1.0273972602739727,0.2665113,1.0622938
PBO,3674,1.0657534246575342,0.27482447,1.1659093
PBO,3688,1.104109589041096,0.28335416,1.2477047
PBO,3702,1.1424657534246576,0.29125154,1.2981882
PBO,3716,1.180821917808219,0.2981476,1.3168011
